Región,meses,cosecha,year,produccion,rendimiento
Pasco,Feb,0.0,2020,,
Piura,Feb,0.0,2020,,
Puno,Feb,0.0,2020,,
San Martín,Feb,4.40280112044818,2020,,
Tacna,Feb,0.0,2020,,
Tumbes,Feb,0.0,2020,,
Ucayali,Feb,0.0,2020,,
Amazonas,Mar,6.8181411974977655,2020,,
Áncash,Mar,0.0,2020,,
Apurímac,Mar,0.0,2020,,
Arequipa,Mar,0.0,2020,,
Ayacucho,Mar,5.217910447761194,2020,,
Cajamarca,Mar,6.412162056147728,2020,,
Callao,Mar,0.0,2020,,
Cusco,Mar,5.392488262910798,2020,,
Huancavelica,Mar,0.0,2020,,
Huánuco,Mar,5.50461371055495,2020,,
Ica,Mar,0.0,2020,,
Junín,Mar,5.307477417498231,2020,,
La Libertad,Mar,3.582716049382716,2020,,
Lambayeque,Mar,0.0,2020,,
Lima,Mar,0.0,2020,,
Lima Metropolitana,Mar,0.0,2020,,
Loreto,Mar,0.0,2020,,
cafere de Dios,Mar,4.067892976588628,2020,,
Moquegua,Mar,0.0,2020,,
Pasco,Mar,5.0,2020,,
Piura,Mar,0.0,2020,,
Puno,Mar,0.0,2020,,
San Martín,Mar,4.408155833790592,2020,,
Tacna,Mar,0.0,2020,,
Tumbes,Mar,0.0,2020,,
Ucayali,Mar,5.401453732177803,2020,,
Amazonas,Abr,7.417001100266756,2020,,
